geo_accession,hsa-miR-1307-3p,hsa-miR-4783-3p,hsa-miR-8073,hsa-miR-4532,hsa-miR-6787-5p,hsa-miR-6861-5p,hsa-miR-1233-5p,hsa-miR-4675,hsa-miR-92a-2-5p,hsa-miR-6756-5p,hsa-miR-1228-5p,hsa-miR-6766-5p,hsa-miR-4758-5p,hsa-miR-6802-5p,hsa-miR-6769a-5p,hsa-miR-4419b,hsa-miR-6784-5p,hsa-miR-4428,hsa-miR-342-5p,hsa-miR-885-3p,hsa-miR-8059,hsa-miR-1238-5p,hsa-miR-3156-5p,hsa-miR-4727-3p,hsa-miR-663a,hsa-miR-320a,hsa-miR-191-5p,hsa-miR-4646-5p,hsa-miR-1246,hsa-miR-4299,hsa-miR-4515,hsa-miR-197-5p,hsa-miR-6073,hsa-miR-4730,hsa-miR-6717-5p,hsa-miR-614,hsa-miR-6816-5p,hsa-miR-6858-5p,hsa-miR-211-3p,hsa-miR-6131,hsa-miR-6887-5p,hsa-miR-3682-3p,hsa-miR-6839-5p,hsa-miR-23b-3p,hsa-miR-642b-3p,hsa-miR-320b,hsa-miR-130a-3p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-6822-5p,hsa-miR-654-5p,hsa-miR-4498,hsa-miR-4514,hsa-miR-4734,hsa-miR-4261,hsa-miR-17-3p,hsa-miR-6729-5p,hsa-miR-4317,hsa-miR-3652,hsa-miR-4732-5p,hsa-miR-146a-5p,hsa-miR-6757-5p,hsa-miR-320e,hsa-miR-4489,hsa-miR-7847-3p,hsa-miR-3934-5p,hsa-miR-4700-5p,hsa-miR-4298,hsa-miR-23a-3p,hsa-miR-8060,hsa-miR-6742-5p,hsa-miR-483-5p,hsa-miR-15b-5p,hsa-miR-3137,hsa-miR-3151-5p,hsa-miR-4538,hsa-miR-320d,hsa-miR-6748-5p,hsa-miR-3617-5p,hsa-miR-6760-5p,hsa-miR-1343-3p,hsa-miR-4652-5p,hsa-miR-3605-5p,hsa-miR-25-3p,hsa-miR-4436b-3p,hsa-miR-320c,hsa-miR-4300,hsa-miR-140-3p,hsa-miR-4259,hsa-miR-221-3p,hsa-miR-423-3p,hsa-miR-185-5p,hsa-miR-15a-5p,hsa-miR-505-5p,hsa-miR-6728-5p,hsa-miR-222-3p,hsa-miR-4690-5p,hsa-miR-22-3p,hsa-miR-1247-3p,hsa-miR-126-3p,breast cancer
1877595,9.199394,8.519956,8.035432,13.7788,9.510347,8.317815,12.82083,8.491732,7.122897999999999,9.025546,10.995619999999999,6.8597589999999995,9.264974,9.12054,7.839937,6.708313,11.44319,6.7846839999999995,7.1652830000000005,6.873107000000001,10.49822,7.473826,5.048324,5.987586,12.65908,7.657174,7.844452,6.186267,7.954598,6.4793449999999995,6.4390339999999995,8.368551,5.048324,7.550555999999999,8.295171,10.2823,10.14232,9.20462,8.025147,11.797460000000001,7.6543589999999995,5.048324,5.866955,5.048324,10.33809,6.998861,5.048324,5.048324,5.048324,5.048324,5.530215,5.571448,5.048324,14.12849,5.488398,5.048324,12.05303,5.152012,6.916123,6.487947,5.048324,8.350679,5.566215000000001,5.048324,7.766602000000001,5.702908,5.048324,7.671355,5.4608669999999995,5.048324,5.048324,6.496226,5.048324,5.181925,6.171772,5.048324,5.048324,5.20144,5.048324,5.048324,7.291521,5.740953,5.048324,5.048324,5.048324,6.013018,5.048324,5.4015059999999995,5.393265,5.048324,6.216297,5.756652,5.048324,5.048324,5.048324,5.227718,6.5553539999999995,7.075264999999999,6.710246000000001,5.048324,1
1877371,9.032169,9.284572,7.250096000000001,13.91913,9.350036,8.592927,13.282329999999998,9.229578,7.084049,8.906107,10.86513,7.531886,9.580478999999999,9.564636,8.70973,7.4192279999999995,11.033660000000001,7.728949000000001,8.427999999999999,7.103938,11.91334,8.116667999999999,6.87873,7.36256,12.09225,7.024429,5.419582,7.448187,6.102166,5.410931,7.888269,8.829381,4.746872,7.324475,7.984047,11.92933,10.23814,9.053616,7.8565380000000005,10.07302,7.906225999999999,6.18136,8.186894,6.584001,10.21663,6.484362,3.7965370000000003,3.8969669999999996,4.378891,4.911727,4.20403,6.2775870000000005,4.5862940000000005,13.43435,3.7965370000000003,6.746908,11.45996,3.7965370000000003,6.489599,5.689691000000001,4.3047889999999995,9.031903,5.33611,6.4633400000000005,7.586905000000001,4.945437999999999,6.136589,7.58741,5.397476999999999,6.0446,6.434839,7.320349,6.570129,4.760447,5.919157,5.546539,5.063551,6.031093,5.705045,4.597454,7.707064,6.392447,4.532458999999999,3.7965370000000003,6.077534,5.162354,5.57834,4.440592,6.896482000000001,4.655494999999999,4.353763,5.940030999999999,4.671241,3.7965370000000003,3.7965370000000003,4.173653,7.345695,3.9993519999999996,7.830596000000001,3.7965370000000003,1
1878300,5.301838,4.537348000000001,5.6953059999999995,10.84656,8.041169,6.907058999999999,10.77968,6.975119,8.860264,8.230103999999999,11.63968,5.210015,8.248799,8.227985,6.745838000000001,5.478128,12.88011,4.2383370000000005,4.294971,3.7299339999999996,8.787018,5.998264,3.090744,5.288043,10.231110000000001,5.097065,2.941184,4.928948,2.941184,3.498155,4.873482,7.396922,3.787575,9.319041,5.693323,8.634881,11.166830000000001,8.083396,6.255999,6.649405000000001,6.071119,2.941184,4.149808,3.1934560000000003,8.305043,4.425689,2.941184,3.6884349999999997,2.941184,4.419797,2.941184,2.941184,2.941184,11.87951,2.941184,3.9144900000000002,12.64247,2.941184,4.5636790000000005,4.598873,3.377279,7.260086,2.941184,3.4933980000000004,6.196783,3.8016970000000003,3.38576,6.362028,2.941184,2.941184,4.527871,5.042171,3.056748,2.941184,5.215262999999999,3.381061,3.6254480000000004,4.578443,2.941184,2.941184,5.931462000000001,2.941184,2.941184,2.941184,2.941184,2.941184,2.941184,2.941184,4.035691,2.941184,2.941184,3.7448940000000004,2.941184,2.941184,2.941184,3.498032,5.587438,3.173762,5.999815,3.5333120000000005,0
1876829,10.08398,9.473127999999999,8.250865,14.9408,9.982467999999999,8.258749,13.76711,9.348481,7.611941000000001,8.975017,10.70177,7.338228,9.307494,9.42253,9.243436,7.846011,11.50871,7.722519999999999,7.759041000000001,7.073555000000001,11.88534,8.265704,7.040927000000001,7.139886,12.19487,6.817394,7.492074000000001,7.856439999999999,11.2904,6.446777,7.429092,9.112616000000001,6.920063000000001,8.144208,7.772996000000001,11.642389999999999,9.918213,8.988527000000001,7.4578869999999995,12.22856,8.05712,6.757547,7.940948,9.216364,10.53337,6.302365,6.238899,7.316250999999999,7.150950999999999,6.6426940000000005,5.765655000000001,7.153688000000001,5.884028,13.59685,4.609417,6.5687619999999995,12.0018,5.652585,6.5456900000000005,8.585019,5.722154,9.006226,5.181451,6.301476999999999,8.22279,6.073457,6.718235000000001,6.978944,8.74207,6.109118,5.692709,6.745278999999999,6.496009,5.760977,6.340694999999999,5.059308000000001,5.127453,6.577405000000001,4.055408,6.86453,7.673186,6.011314,5.61412,6.24678,4.942715,6.27243,6.226064,5.4079180000000004,6.6994929999999995,6.2051099999999995,5.782438,6.077017,5.991956,3.897042,4.06436,4.8855,7.4478539999999995,7.355328,7.291494,6.143523,1
1877791,4.834694,4.507751,4.572128,11.345180000000001,7.673652000000001,6.369743,11.11076,6.853165,10.002989999999999,7.934595,12.11778,4.711555000000001,7.945460000000001,8.390185,6.2946279999999994,5.993443,12.58375,3.5830900000000003,2.683971,4.030337,7.62818,5.372852,3.628392,2.998551,10.42491,3.352613,1.445629,4.479103,1.0148469999999998,1.0148469999999998,2.600448,6.361330000000001,1.0148469999999998,10.545580000000001,3.7520629999999997,6.642024,10.87845,7.800714999999999,6.067526,5.005731,6.119606,3.6096190000000004,3.7846910000000005,2.937738,8.944294000000001,2.874891,2.086306,1.0148469999999998,1.0148469999999998,3.1095029999999997,1.0148469999999998,3.957785,1.0148469999999998,11.50958,1.0148469999999998,1.971954,12.64857,1.0148469999999998,4.862603,4.580928,1.956125,8.005221,2.2791259999999998,3.3007269999999997,6.725302,3.135447,1.0148469999999998,5.998591,1.8102479999999999,4.2612559999999995,4.565809,4.6772480000000005,1.977497,1.0148469999999998,3.6294269999999997,1.92344,1.0148469999999998,3.5184480000000002,1.0148469999999998,3.387835,5.127365,2.95514,1.0148469999999998,1.0148469999999998,2.872439,1.0148469999999998,1.0148469999999998,1.0148469999999998,3.559443,2.501896,1.0148469999999998,2.983475,1.0148469999999998,1.6134950000000001,1.0148469999999998,2.190418,5.350109,1.0148469999999998,5.687928,3.783006,0
1876483,9.18927,9.120891,7.422478999999999,14.36621,9.234879,8.608214,12.43797,9.674432000000001,6.913869999999999,9.179826,11.09976,7.059639,9.688064,9.518365,8.283592,8.355413,11.6214,6.973758,6.884608999999999,7.492503,10.905710000000001,7.179183,4.542753,6.073487999999999,10.95322,7.823422,6.67823,6.55015,5.426294,4.406939,7.23566,8.461083,6.17061,7.529635000000001,6.846482000000001,10.96674,9.994546000000001,8.890863000000001,7.396922,10.7352,7.104298,4.406939,5.644658,6.373916,9.205736,6.968684,5.922386,5.3215699999999995,4.406939,5.577675,4.406939,6.738671000000001,4.406939,14.14064,4.406939,5.929115,11.60299,4.406939,6.500055000000001,6.353555,5.56712,8.795176,5.291607,4.406939,7.693632000000001,4.625055000000001,4.406939,7.382936999999999,6.502276999999999,4.406939,6.325561,5.971779,4.406939,4.406939,6.593947,4.967109,5.976418,5.577749,5.079514,4.406939,7.082099,4.406939,4.560257,4.681672,4.406939,6.7001100000000005,4.406939,6.1457690000000005,5.7517510000000005,5.748367,6.073456,5.094686,4.406939,4.406939,4.406939,5.915,6.914700999999999,6.252947,7.040961,4.721124,1
1877293,9.004282,9.291839,8.175831,13.46294,9.245863,8.572394000000001,13.53602,8.785654,6.879268,9.10475,10.90024,7.565619,9.439542999999999,9.179917999999999,8.738038000000001,7.295217999999999,11.00375,7.339589,8.201282,6.167707,11.79515,7.949789,6.7417,5.9938769999999995,11.39202,6.973945,7.706010000000001,7.236432000000001,10.01326,6.585764999999999,7.138482000000001,8.467576,5.81001,6.904043,8.378491,11.6048,9.915261,8.844645,7.295594,11.61404,8.304407000000001,5.932308,7.437836999999999,7.440467999999999,9.369314,5.81001,5.81001,5.81001,5.81001,6.873727000000001,5.81001,7.963686,5.81001,13.31081,5.81001,6.554276,11.30605,5.81001,7.111704,7.605057,6.1135209999999995,9.08047,5.946524,5.9280870000000006,7.569858999999999,6.116251999999999,5.81001,7.577283,7.571213,5.81001,6.7186710000000005,7.073128,5.81001,5.81001,6.814572,5.81001,5.81001,5.81001,5.81001,5.81001,6.900643,5.81001,5.81001,5.81001,5.81001,6.1070400000000005,5.81001,5.81001,5.81001,5.81001,5.997848,6.670192,5.81001,5.81001,5.81001,5.81001,6.43973,7.32247,7.66108,5.81001,1
1878077,4.692097,4.769516,5.131541,11.147219999999999,8.024569,6.33858,10.45244,6.441339,9.55374,7.951473,12.04905,4.792973,8.130191,7.955609,5.561139,5.933054,12.685939999999999,3.181349,2.512099,4.168737999999999,7.244130999999999,5.186486,2.72439,2.883371,10.3588,3.991172,2.72624,3.778493,4.781280000000001,2.214928,2.213227,7.126110000000001,1.038668,10.342369999999999,3.93226,5.911097,10.79762,8.021372,6.0111360000000005,6.618761,5.559226,1.621053,1.5032370000000002,1.9846840000000001,8.596755,3.3717919999999997,1.038668,1.038668,1.038668,3.7629330000000003,1.908936,3.9058580000000003,1.038668,12.039060000000001,1.038668,2.026973,12.99182,1.038668,4.916917,5.073158,1.038668,6.4075120000000005,2.1519310000000003,3.178035,6.234335,2.897869,1.624966,5.998977,2.221381,2.315998,4.363933,4.748403,1.038668,1.038668,3.787475,1.7243540000000002,1.56006,3.4494279999999997,1.038668,2.748742,5.31525,1.038668,1.038668,1.038668,1.601118,2.6629400000000003,1.5838459999999999,1.038668,3.4506959999999998,1.038668,1.6402240000000001,1.038668,1.038668,1.038668,1.3358940000000001,1.038668,5.639287,2.098847,5.6132290000000005,1.038668,0
1879365,5.141999,5.515692,6.014232,11.49039,8.010812,6.896539999999999,11.13208,6.849104,9.505243,7.922376,12.37767,5.395928,8.707066000000001,7.946147,6.076533,5.618264,12.34735,4.239984,4.384183999999999,4.417257,8.431964,5.471928,3.3540330000000003,3.2941519999999995,10.54304,4.786471,3.595357,4.225142,3.8858339999999996,3.2173689999999997,4.140805,6.810072999999999,4.155653,10.65586,4.944483,7.728528,10.62305,7.806728999999999,6.2579139999999995,8.329986,6.047647,2.389745,3.50167,2.0567189999999997,9.064048,3.459912,1.746589,1.746589,1.746589,4.841626,2.971114,4.332424,1.746589,12.35179,2.207417,2.843874,13.1523,1.746589,4.739783,4.644456,1.746589,6.6604220000000005,2.042055,3.302697,6.01807,3.400755,1.746589,5.516596,2.994344,3.2526639999999998,4.917414,4.422457,1.746589,1.746589,4.794499,2.0242259999999996,2.44562,3.559857,1.746589,3.393478,6.13587,2.534673,1.746589,2.0632080000000004,1.746589,3.332963,2.4007330000000002,1.746589,3.113479,2.506712,2.426576,3.247035,1.746589,1.8707479999999999,1.746589,2.358139,5.415763,2.754458,6.054627,1.746589,0
1879232,5.47494,5.107167,5.042288,11.11319,7.797649000000001,6.281026,10.55494,6.468541,9.898717,7.629571,12.297369999999999,4.602425,8.194189,7.764809,5.628964,4.76008,12.52743,3.269679,3.8470690000000003,3.879552,8.148236,5.192011,2.677323,2.677323,10.55825,3.843517,2.677323,3.6494190000000004,3.578929,2.677323,3.0360099999999997,6.480258,2.677323,9.850807000000001,4.9639,7.264760000000001,10.88422,7.392967,5.657433999999999,8.085614,5.400448,2.677323,3.035662,2.677323,8.279793,2.677323,2.914324,2.677323,2.677323,2.677323,2.88865,3.225217,2.677323,11.851510000000001,2.677323,2.878705,12.77763,2.677323,4.53238,4.5400849999999995,3.015298,6.155403,2.677323,2.677323,5.89997,3.24905,2.677323,5.797028,4.282682,2.677323,4.22656,5.186391,2.677323,3.017189,4.275698,2.677323,2.677323,3.0419,2.677323,2.677323,5.682163,2.677323,2.677323,2.777323,2.677323,5.211001,2.677323,2.677323,2.880315,3.248482,3.0249900000000003,2.677323,2.677323,2.677323,2.677323,3.206898,5.3493699999999995,3.779558,5.5406580000000005,2.677323,0
